Artist,Song,Purchased,Assessment
(I Just) Died in Your Arms,Cutting Crew,4/5/26,READY-TO-START
(Love Is Like a) Heat Wave,Linda Ronstadt,7/12/25,ON-HOLD
(There's) No Gettin' Over Me,Ronnie Milsap,6/25/26,AVAILABLE
4x4xU,Lainey Wilson,8/24/25,ON-HOLD
867-5309 / Jenny,Tommy Tutone,10/22/25,AVAILABLE
A Better Man,Clint Black,4/18/26,AVAILABLE
Against the Wind,Bob Seger,2/12/24,AVAILABLE
Ain't Even Done With The Night,John Mellencamp,10/5/25,AVAILABLE
All I Need Is a Miracle,Mike and The Mechanics,1/14/25,AVAILABLE
All My Rowdy Friends Are Coming Over Tonight,"Hank Williams, Jr.",2/27/24,BACKLOG
All Night Long (All Night),Lionel Richie,6/18/22,ON-HOLD
And We Danced,The Hooters,2/6/26,AVAILABLE
APT.,Rosé (로제) & Bruno Mars,7/29/25,AVAILABLE
Are You Lonesome Tonight,Elvis Presley,2/15/25,ON-HOLD
Back in the U.S.A.,Linda Ronstadt,7/16/25,ON-HOLD
"Bad Case of Loving You (Doctor, Doctor)",Robert Palmer,5/17/24,AVAILABLE
"Bad, Bad Leroy Brown",Jim Croce,12/1/23,ON-HOLD
Be by You,Luke Combs,7/1/26,AVAILABLE
Because the Night,Patti Smith,8/17/22,ON-HOLD
Billie Jean,Michael Jackson,7/2/25,ON-HOLD
Blinding Lights,The Weeknd,5/28/22,BACKLOG
Boogie Shoes,KC & The Sunshine Band,6/18/22,READY-TO-START
Brandy (You're a Fine Girl),Looking Glass,6/4/22,AVAILABLE
Breakaway,Kelly Clarkson,7/5/25,AVAILABLE
Brown Eyed Girl,Van Morrison,10/12/25,AVAILABLE
Bye Bye,Jo Dee Messina,2/26/25,READY-TO-START
Can't Let Go,Robert Plant & Alison Krauss,3/23/26,BACKLOG
Can't Tell Me I'm Wrong,Luke Combs,8/9/26,AVAILABLE
Cherry Bomb,John Mellencamp,7/4/26,IN-PROGRESS
China Grove,The Doobie Brothers,4/15/23,BACKLOG
Come and Get Your Love,Redbone,1/16/26,READY-TO-START
Complicated,Avril Lavigne,3/11/24,BACKLOG
Cover Me,Bruce Springsteen,1/16/26,AVAILABLE
Crocodile Rock,Elton John,3/10/26,AVAILABLE
Cruel To Be Kind,Nick Lowe,8/16/25,AVAILABLE
"Dancin', Shaggin' on the Boulevard",Alabama,5/8/26,AVAILABLE
Dancing In The Moonlight,Toploader,6/25/22,READY-TO-START
Dancing Queen,ABBA,8/17/22,BACKLOG
Diamond Girl,Seals & Crofts,7/17/22,AVAILABLE
Die with a Smile,Lady Gaga & Bruno Mars,7/29/25,BACKLOG
Dirt on My Boots,Jon Pardi,4/18/26,READY-TO-START
Do You Believe In Love,Huey Lewis & The News,3/29/26,BACKLOG
Does Your Mother Know,ABBA,7/19/25,AVAILABLE
Don't Dream It's Over,Crowded House,6/29/26,READY-TO-START
Don't Know Why,Norah Jones,2/26/25,BACKLOG
Don't Start Now,Dua Lipa,10/4/21,BACKLOG
Down Home Blues,Etta James,7/2/25,READY-TO-START
Drinkin' Problem,Midland,7/17/22,AVAILABLE
Easy (Like Sunday Morning),Commodores,3/23/26,AVAILABLE
Ebony Eyes,Bob Welch,1/27/24,AVAILABLE
Europa (Earth's Cry Heaven's Smile),Santana,7/17/22,BACKLOG
Evil Woman,Electric Light Orchestra,8/21/26,READY-TO-START
Feelin' Alright,Joe Cocker,6/29/26,AVAILABLE
Footloose,Blake Shelton,7/17/24,BACKLOG
Friday I'm in Love,The Cure,6/8/26,AVAILABLE
Go All the Way,The Raspberries,12/2/22,BACKLOG
Half of Me,Thomas Rhett & Riley Green,12/2/22,AVAILABLE
Handle with Care,Traveling Wilburys,2/5/26,AVAILABLE
Hearts Are Gonna Roll,Hal Ketchum,7/18/24,AVAILABLE
Here Comes My Girl,Tom Petty,3/14/26,BACKLOG
Hey California,Jon Pardi,4/18/26,AVAILABLE
Hollywood Nights,Bob Seger,4/22/26,AVAILABLE
How Long,Ace,4/5/26,AVAILABLE
I Feel Lucky,Mary Chapin Carpenter,7/7/25,BACKLOG
I Melt With You (album version),Modern English,8/17/22,AVAILABLE
I Saw the Light,Todd Rundgren,10/5/25,AVAILABLE
I Shot the Sheriff,Eric Clapton,8/21/26,AVAILABLE
I Wish You Would,MacKenzie Carpenter & Midland,8/24/25,BACKLOG
Island In The Sun,Weezer,7/9/25,AVAILABLE
It Never Rains In Southern California,Albert Hammond,5/14/24,READY-TO-START
Jack & Diane,John Mellencamp,9/18/24,READY-TO-START
Kiss Me,Sixpence None the Richer,1/19/24,AVAILABLE
La Isla Bonita,Madonna,7/11/25,BACKLOG
Let Me Down Easy,Billy Currington,2/5/26,AVAILABLE
Let My Love Open the Door,Pete Townshend,3/15/25,AVAILABLE
Linger,The Cranberries,3/30/23,BACKLOG
Long Train Runnin',The Doobie Brothers,5/23/24,BACKLOG
Love Again,Dua Lipa,8/12/21,BACKLOG
Love Somebody,Morgan Wallen,2/4/25,AVAILABLE
Magic,The Cars,8/29/26,AVAILABLE
Mary Jane's Last Dance,Tom Petty,3/23/26,AVAILABLE
Money (That's What I Want),Barrett Strong,6/18/22,AVAILABLE
More Than My Hometown,Morgan Wallen,1/6/23,BACKLOG
Much Too Young (To Feel This Damn Old),Garth Brooks,8/5/24,AVAILABLE
My Life,Billy Joel,5/14/24,AVAILABLE
Nice to Meet Ya,Niall Horan,6/18/22,AVAILABLE
Nobody,Sylvia,7/24/25,BACKLOG
On the Dark Side,Eddie and the Cruisers (Eddie and the Cruisers),8/9/26,READY-TO-START
Ordinary World (acoustic),Duran Duran,6/29/26,AVAILABLE
Our Song,Taylor Swift,7/18/24,BACKLOG
Party Crowd,David Lee Murphy,7/4/26,READY-TO-START
Past The Point Of Rescue,Hal Ketchum,12/1/23,AVAILABLE
Pink Pony Club,Chappell Roan,8/3/25,BACKLOG
R.O.C.K. in the U.S.A.,John Mellencamp,7/7/25,READY-TO-START
Ride Like the Wind,Christopher Cross,2/12/24,READY-TO-START
Roll with the Changes,REO Speedwagon,2/27/24,BACKLOG
Runnin' Down a Dream,Tom Petty,2/26/25,BACKLOG
Running on Empty,Jackson Browne,6/23/22,READY-TO-START
Sailing,Christopher Cross,7/22/22,AVAILABLE
Sharing the Night Together,Dr. Hook & The Medicine Show,5/8/26,AVAILABLE
Show Me the Way,Peter Frampton,7/17/24,BACKLOG
Show Me the Way (live - United States 1976),Peter Frampton,7/28/24,BACKLOG
Since U Been Gone,Kelly Clarkson,7/5/25,BACKLOG
Small Town Saturday Night,Hal Ketchum,11/27/23,AVAILABLE
Somebody's Problem,Morgan Wallen,1/6/23,READY-TO-START
"Someday, Someway",Marshall Crenshaw,6/20/26,AVAILABLE
Spooky,Atlanta Rhythm Section,9/18/24,READY-TO-START
Starting Over,Chris Stapleton,2/26/26,AVAILABLE
Steal Away,Robbie Dupree,6/8/26,READY-TO-START
Steppin' Out,Steel Pulse,6/20/26,BACKLOG
Still The Same,Bob Seger,1/18/26,AVAILABLE
Stumblin' In,Suzi Quatro & Chris Norman,4/21/23,BACKLOG
"Summer, Highland Falls",Billy Joel,7/11/25,AVAILABLE
T-R-O-U-B-L-E,Travis Tritt,12/1/23,READY-TO-START
Takin' Care of Business,Bachman-Turner Overdrive,5/17/23,AVAILABLE
Thank You,Dido,6/25/22,BACKLOG
That Thing You Do,That Thing You Do! (film) (The Wonders),6/8/26,AVAILABLE
That's All,Genesis,5/23/22,AVAILABLE
The Boys Are Back In Town,Thin Lizzy,8/9/26,READY-TO-START
The End of the Innocence,Don Henley,5/1/24,BACKLOG
The Fighter,Keith Urban & Carrie Underwood,8/16/25,BACKLOG
