ARTIST,BACKING,CAPO,CHORDPRO FILENAME,COUNTIN,DURATION,KEY,NORD,PERFORMANCE KEY,TEMPO,TIME SIGNATURE,TITLE,VE,VERSION
Alexa Vega,,,./cho/ABC/A/AlexaVega/LostInYourOwnLife.cho,,,C,,,,,Lost In Your Own Life,,
Alabama,,,./cho/ABC/A/Alabama/DancinShagginOnTheBoulevard.cho,,,,,,,,"Dancin', Shaggin' on the Boulevard",,
ARS,,,./cho/ABC/A/ARS/DoItOrDie.cho,,,D,,,,,Do It Or Die,,
ARS,,,./cho/ABC/A/ARS/SoIntoYou.cho,,,Fm,,,87,,So Into You,,
ARS,,,./cho/ABC/A/ARS/Spooky.cho,8,3:22,Em,P34,,106,,Spooky,,
Allman Brothers,,,./cho/ABC/A/AllmanBrothers/Southbound.cho,,,F,,,,,Southbound,,
America,,,./cho/ABC/A/America/YouCanDoMagic.cho,,,,,,,,You Can Do Magic,,
America,,,./cho/ABC/A/America/AHorseWithNoName.cho,,4:12,,,,123,,A Horse With No Name,,
Al Green,,,./cho/ABC/A/AlGreen/LetsStayTogether.cho,,,F,,,,,Let's Stay Together,,
Alan Jackson,,,./cho/ABC/A/AlanJackson/RememberWhen.cho,,,,,,,,Remember When,,
Avril Lavigne,,,./cho/ABC/A/AvrilLavigne/Complicated-em.cho,,,Em,,Em,78,,Complicated,,
Avril Lavigne,,,./cho/ABC/A/AvrilLavigne/Complicated.cho,,,Dm,,Dm,78,,Complicated,,
Avril Lavigne,,,./cho/ABC/A/AvrilLavigne/Complicated-c#m.cho,,,C#m,,C#m,78,,Complicated,,
Alicia Keys,,,./cho/ABC/A/AliciaKeys/IfIAintGotYou.cho,,,G,,,,,If I Ain't Got You,,
Aha,,,./cho/ABC/A/Aha/TakeOnMe.cho,,3:00,A,,,100,,Take On Me,,
Arlo Guthrie,,,./cho/ABC/A/ArloGuthrie/CityOfNewOrleans.cho,,3:45,D,O24,,152,,City of New Orleans,,
Albert Hammond,26,,./cho/ABC/A/AlbertHammond/ItNeverRains.cho,4,3:20,G,O23,,117,,It Never Rains in Southern California,,
Ami Winehouse,,,./cho/ABC/A/AmyWinehouse/Valerie.cho,4,3:10,Eb,P54,,,,Valerie,,
Al Stewart,20,,./cho/ABC/A/AlStewart/YearOfTheCat.cho,4,4:00,Em,M22,,116,,Year of the Cat,,
Anne Murray,,,./cho/ABC/A/AnneMurray/ShadowsInTheMoonlight.cho,,,A,,,,,Shadows In The Moonlight,,
Abba,62},,./cho/ABC/A/Abba/DoesYourMotherKnow.cho,8,3:10,G,M22,,120,,Does Your Mother Know,,
Abba,,,./cho/ABC/A/Abba/DancingQueenAltered.cho,,,A,,,,,Dancing Queen (Altered),,
Abba,,,./cho/ABC/A/Abba/DancingQueenAltered-E.cho,,,E,,,,,Dancing Queen (Altered),,
Chappell Roan,,,./cho/ABC/C/ChappellRoan/PinkPonyClub.cho,,4:10,F,,F,106,,Pink Pony Club,,
Carole King,,,./cho/ABC/C/CaroleKing/Chains.cho,,,D,,,,,Chains,,
Counting Crows,,,./cho/ABC/C/CountingCrows/AccidentallyInLove.cho,4,3:00,G,O11,,138,,Accidentally In Love,,
Commodores,,,./cho/ABC/C/Commodores/Easy-F.cho,,,F,,,67,,Easy,,
The California Honeydrops,,,./cho/ABC/C/CaliforniaHoneydrops/InTheAir.cho,,,E,,,,,In The Air,,
Chris Rea,,,./cho/ABC/C/ChrisRea/FoolIfYouThinkItsOver.cho,,,Am,N52,,110,,Fool If You Think It's Over,,
"Crosby, Stills, Nash and Young",,,./cho/ABC/C/CSNY/JustASongBeforeIGo.cho,,,Dm,,,,,Just A Song Before I Go,,
Christopher Cross,,,./cho/ABC/C/ChristopherCross/RideLikeTheWind.cho,,,Eb,,,125,,Ride Like The Wind,,
Carly Simon,,,./cho/ABC/C/CarlySimon/ComeAroundAgain.cho,,,Dm,,,,,Come Around Again,,
Carpenters,,,./cho/ABC/C/Carpenters/IWontLastADayWithoutYou.cho,4,3:20,G,P54,,85,,I Won't Last A Day Without You,,
Carpenters,,,./cho/ABC/C/Carpenters/TheresAKindOfHush.cho,,2:35,G,,,128,,There's A Kind Of Hush,,
Carpenters,,,./cho/ABC/C/Carpenters/IWontLastADayWithoutYou-f.cho,4,3:20,F,P54,,85,,I Won't Last A Day Without You,,
The Cure,,,./cho/ABC/C/Cure/JustLikeHeaven.cho,,,A,,,,,Just Like Heaven,,
Chaka Khan / Rufus,,,./cho/ABC/C/ChakaKhan/AintNobody-Guitar.cho,,,Em,,,,,Ain't Nobody - Guitar,,
Chaka Khan / Rufus,,,./cho/ABC/C/ChakaKhan/AintNobody.cho,,,Em,,,,,Ain't Nobody,,
Corrine Bailey Rae,,,./cho/ABC/C/CorrineBailyRae/PutYourRecordsOn.cho,4,3:00,A,N24,,96,,Put Your Records On,,
Cat Stevens,,,./cho/ABC/C/CatStevens/WildWorld.cho,,3:30,Dm,,,,,Wild World,,
Camila Cabello,,,./cho/ABC/C/CamilaCabello/Havana.cho,,,Gm,,,,,Havana,,
Rose & Bruno Mars,,,./cho/ABC/B/BrunoMars/Apt.cho,4,2:40,Eb,P51,,149,,Apt,,
"Bruno Mars, Lady Gaga",,,./cho/ABC/B/BrunoMars/DieWithASmile.cho,,,A,,,,,Die With A Smile,,
Bee Gees,,,./cho/ABC/B/BeeGees/RunToMe.cho,,,A,,,,,Run To Me,,
Bee Gees,,,./cho/ABC/B/BeeGees/HowDeepIsYourLove.cho,,,Eb,,,,,How Deep Is Your Love,,
The Beatles,,,./cho/ABC/B/Beatles/RealLove.cho,,,C,,,,,Real Love,,
The Beatles,,,./cho/ABC/B/Beatles/HereComesTheSun.cho,,,A,,,,,Here Comes The Sun,,
The Beatles,,,./cho/ABC/B/Beatles/HereComesTheSun-C-Jeff.cho,,,C,,,,,Here Comes The Sun,,
Beatles,,,./cho/ABC/B/Beatles/GoldenSlumbers-CarryThatWeight_e-eb.cho,,2:30,E,,E and Eb,,,Golden Slumbers / Carry That Weight,,
Beatles,,,./cho/ABC/B/Beatles/GoldenSlumbers-CarryThatWeight.cho,,,Gb,,,,,Golden Slumbers / Carry That Weight,,
Beatles,,,./cho/ABC/B/Beatles/TwistAndShout.cho,,2:10,D,???,,128,,Twist & Shout,,
The Beatles,,,./cho/ABC/B/Beatles/HereComesTheSun-C.cho,,,A,,,,,Here Comes The Sun,,
Blake Shelton,,,./cho/ABC/B/BlakeShelton/Footloose.cho,,,G,,,,,Footloose,,
Barrett Strong,,,./cho/ABC/B/BarrettStrong/Money.cho,4,3:45,E,O15,,,,Money (That's What I Want),,1.0
Bachman Turner Overdrive (BTO),,,./cho/ABC/B/BachmanTurnerOverdrive/TakinCareOfBusiness.cho,,4:50,C,N41,,130,,Takin' Care of Business,,
Bill Withers,,,./cho/ABC/B/BillWithers/LovelyDay.cho,,,E,,,98,,Lovely Day,,
Bob Dylan,,,./cho/ABC/B/BobDylan/LikeARollingStone.cho,,,C,,,,,Like A Rolling Stone,,
Bad English,,,./cho/ABC/B/BadEnglish/WhenISeeYouSmile.cho,,,G,,,,,When I See You Smile,,
Bellamy Brothers,,,./cho/ABC/B/BellamyBrothers/IfISaidYouHaveABeautifulBody.cho,,,E,,,,,If I Said You Have A Beautiful Body,,
Billy Currington,,,./cho/ABC/B/BillyCurrington/LetMeDownEasy.cho,,,G,,,,,Let Me Down Easy,,
Billy Joel,14,,./cho/ABC/B/BillyJoel/MyLife-c.cho,8,3:40,C,P32,,131,,My Life,,
Billy Joel,,,./cho/ABC/B/BillyJoel/Vienna-g#m.cho,,,G#m,,G#m,63,,Vienna - G#m,,
