TITLE,ARTIST,KEY,DURATION,TEMPO,COUNTIN,BACKING,NORD,ROLAND,VE,PERFORMANCE KEY,TIME SIGNATURE,SONG ID,SONG LABEL,ENERGY LEVEL,VOCAL INTENSITY,GENRE PRIMARY,GENRE SECONDARY,SING ALONG
Do It Or Die,ARS,D,,,,,,,,,,ABC:A:ARS:DoItOrDie,,6,FULL,Rock,,false
So Into You,ARS,Fm,3:50,87,,,,,,,,ABC:A:ARS:SoIntoYou,,4,FULL,Soft Rock,,false
Spooky,ARS,Em,3:22,106,4,,P34,C013,,,,ABC:A:ARS:Spooky,,6,FULL,Rock,,false
Dancing Queen (Altered),Abba,A,,,,,,,,,,ABC:A:Abba:DancingQueenAltered,,9,FULL,Disco,Pop,true
Dancing Queen (Altered),Abba,E,,,,,,,,,,ABC:A:Abba:DancingQueenAltered-e,,9,FULL,Disco,Pop,true
Does Your Mother Know,Abba,G,3:10,120,8,RC,M22,,,,,ABC:A:Abba:DoesYourMotherKnow,DoesYrKnow,8,FULL,Pop Rock,,false
How Long,Ace,Bb,3:00,121,4,RC,M11,,,,,ABC:A:Ace:HowLong,How   Long,4,FULL,Soft Rock,,false
How Long,Ace,A,3:00,121,4,RC,M11,,,,,ABC:A:Ace:HowLong-a,How   Long,4,FULL,Soft Rock,,false
Take On Me,Aha,A,3:00,100,,,,,,,,ABC:A:Aha:TakeOnMe,,9,FULL,Synth Pop,New Wave,true
Let's Stay Together,Al Green,F,,,,,,,,,,ABC:A:AlGreen:LetsStayTogether,,5,FULL,Soul,,false
Time Passages,Al Stewart,Eb,6:00,111,,,,,,,,ABC:A:AlStewart:TimePassages,,4,FULL,Soft Rock,,false
Year of the Cat,Al Stewart,Em,4:00,116,4,RC,M22,,U6,,,ABC:A:AlStewart:YearOfTheCat,YearOfTheCat,4,FULL,Soft Rock,,false
"Dancin', Shaggin' on the Boulevard",Alabama,G,4:30,103,2,RC,P:55,,,G,,ABC:A:Alabama:DancinShagginOnTheBoulevard,,7,FULL,Country,,false
Remember When,Alan Jackson,G,3:00,100,,,,,,,,ABC:A:AlanJackson:RememberWhen,,2,FULL,Country,,false
Remember When (Linda's Version),"Alan Jackson, Scott Davidson",G,3:00,100,,,,,,,,ABC:A:AlanJackson:RememberWhenLinda,,2,FULL,Country,,false
Undercover Angel,Alan O'Day,Bb,3:30,98,,,,,,,,ABC:A:AlanODay:UndercoverAngel,,7,FULL,Pop,Disco,false
Don't Answer Me,Alan Parsons Project,G,,,,,,,,,,ABC:A:AlanParsonsProject:DontAnswerMe,,6,FULL,Rock,,false
Eye In The Sky,Alan Parsons Project,D,,,,,,,,,,ABC:A:AlanParsonsProject:EyeInTheSky,,5,FULL,Rock,,false
It Never Rains in Southern California,Albert Hammond,G,3:20,117,4,RC,O23,,,,,ABC:A:AlbertHammond:ItNeverRains,Never Rains,4,FULL,Soft Rock,,false
Lost In Your Own Life,Alexa Vega,C,,,,,,,,,,ABC:A:AlexaVega:LostInYourOwnLife,,,,,,
If I Ain't Got You,Alicia Keys,G,,,,,,,,,,ABC:A:AliciaKeys:IfIAintGotYou,,3,FULL,R&B,Soul,false
One Way Out,The Allman Brothers Band,A,,110,,,,,,,,ABC:A:AllmanBrothers:OneWayOut,,8,FULL,Southern Rock,Blues Rock,false
Southbound,Allman Brothers,F,,,,,,,,,,ABC:A:AllmanBrothers:Southbound,,7,FULL,Southern Rock,,false
A Horse With No Name,America,Em,3:40,123,,,,,,,,ABC:A:America:AHorseWithNoName,,3,FULL,Folk Rock,,false
Lonely People,America,D,2:10,155,,,M15(A3),,,,,ABC:A:America:LonelyPeople,,3,FULL,Soft Rock,,false
Today's The Day,America,E,3:00,101,4,BB,P54,,,,,ABC:A:America:TodaysTheDay,,2,FULL,Soft Rock,,false
Ventura Highway,America,G,3:20,130,,,,,,,,ABC:A:America:VenturaHighway,,4,FULL,Folk Rock,,false
