song group key,title,artist,energy level,vocal intensity,genre primary,genre secondary,sing along
ABC:A:ARS:DoItOrDie,Do It Or Die,ARS,6,FULL,Rock,,false
ABC:A:ARS:SoIntoYou,So Into You,ARS,4,FULL,Soft Rock,,false
ABC:A:ARS:Spooky,Spooky,ARS,6,FULL,Rock,,false
ABC:A:Abba:DancingQueenAltered,Dancing Queen (Altered),Abba,9,FULL,Disco,Pop,true
ABC:A:Abba:DoesYourMotherKnow,Does Your Mother Know,Abba,8,FULL,Pop Rock,,false
ABC:A:Ace:HowLong,How Long,Ace,4,FULL,Soft Rock,,false
ABC:A:Aha:TakeOnMe,Take On Me,Aha,9,FULL,Synth Pop,New Wave,true
ABC:A:AlGreen:LetsStayTogether,Let's Stay Together,Al Green,5,FULL,Soul,,false
ABC:A:AlStewart:TimePassages,Time Passages,Al Stewart,4,FULL,Soft Rock,,false
ABC:A:AlStewart:YearOfTheCat,Year of the Cat,Al Stewart,4,FULL,Soft Rock,,false
ABC:A:Alabama:DancinShagginOnTheBoulevard,"Dancin', Shaggin' on the Boulevard",Alabama,7,FULL,Country,,false
ABC:A:AlanJackson:RememberWhen,Remember When,Alan Jackson,2,FULL,Country,,false
ABC:A:AlanJackson:RememberWhenLinda,Remember When (Linda's Version),"Alan Jackson, Scott Davidson",2,FULL,Country,,false
ABC:A:AlanODay:UndercoverAngel,Undercover Angel,Alan O'Day,7,FULL,Pop,Disco,false
ABC:A:AlanParsonsProject:DontAnswerMe,Don't Answer Me,Alan Parsons Project,6,FULL,Rock,,false
ABC:A:AlanParsonsProject:EyeInTheSky,Eye In The Sky,Alan Parsons Project,5,FULL,Rock,,false
ABC:A:AlbertHammond:ItNeverRains,It Never Rains in Southern California,Albert Hammond,4,FULL,Soft Rock,,false
ABC:A:AliciaKeys:IfIAintGotYou,If I Ain't Got You,Alicia Keys,3,FULL,R&B,Soul,false
ABC:A:AllmanBrothers:OneWayOut,One Way Out,The Allman Brothers Band,8,FULL,Southern Rock,Blues Rock,false
ABC:A:AllmanBrothers:Southbound,Southbound,Allman Brothers,7,FULL,Southern Rock,,false
ABC:A:America:AHorseWithNoName,A Horse With No Name,America,3,FULL,Folk Rock,,false
